System,CrippenClogP,LWCOMDist_LGFEmin,Target_LGFE_min,Delta_Target,Ligase_LGFE_min,NumRotatableBonds,Linker_LGFE_min
VHL-BCL2,0.02 ± 0.03,-0.20 ± 0.07,0.26 ± 0.05,-0.10 ± 0.06,0.02 ± 0.04,-0.16 ± 0.04,-0.29 ± 0.08
CRBN-BCL-xL,-0.14 ± 0.12,-0.14 ± 0.03,0.33 ± 0.05,-0.23 ± 0.04,0.30 ± 0.03,-0.18 ± 0.03,-0.25 ± 0.05
VHL-BCL-xL,-0.16 ± 0.04,-0.14 ± 0.03,-0.06 ± 0.05,0.06 ± 0.05,0.04 ± 0.05,-0.30 ± 0.02,0.06 ± 0.04
CRBN-BRD4BD1,-0.38 ± 0.04,-0.44 ± 0.03,-0.06 ± 0.02,-0.31 ± 0.03,0.72 ± 0.03,-0.28 ± 0.02,-0.19 ± 0.07
CRBN-BRD4BD2,-0.66 ± 0.09,-0.26 ± 0.04,0.26 ± 0.04,0.14 ± 0.06,0.10 ± 0.02,-0.25 ± 0.03,0.39 ± 0.06
CRBN-CDK9,0.34 ± 0.02,-0.42 ± 0.02,0.47 ± 0.04,-0.63 ± 0.03,-0.06 ± 0.06,-0.37 ± 0.01,-0.18 ± 0.01
MDM2-EGFR,-0.25 ± 0.03,-0.10 ± 0.04,0.13 ± 0.04,-0.14 ± 0.03,0.08 ± 0.09,-0.09 ± 0.05,0.35 ± 0.09
VHL-EGFR,0.48 ± 0.07,0.31 ± 0.03,-0.02 ± 0.04,0.26 ± 0.04,0.35 ± 0.05,-0.60 ± 0.03,-0.44 ± 0.03
VHL-FAK1,-0.42 ± 0.04,-0.40 ± 0.05,0.46 ± 0.03,-0.18 ± 0.07,0.39 ± 0.03,0.02 ± 0.05,0.14 ± 0.04
VHL-FAK1,-0.36 ± 0.08,0.05 ± 0.02,0.73 ± 0.03,-0.79 ± 0.07,-0.03 ± 0.03,0.06 ± 0.01,0.04 ± 0.05
CRBN-HDAC8,0.56 ± 0.15,-0.18 ± 0.03,0.26 ± 0.06,0.02 ± 0.11,0.71 ± 0.11,-0.31 ± 0.06,0.64 ± 0.17
CRBN-SMARCA2,-0.37 ± 0.05,-0.44 ± 0.03,0.46 ± 0.01,-0.40 ± 0.02,0.63 ± 0.03,-0.16 ± 0.02,0.21 ± 0.06
VHL-SMARCA2,-0.59 ± 0.01,0.11 ± 0.02,1.03 ± 0.02,-0.61 ± 0.02,-0.00 ± 0.02,0.06 ± 0.01,-0.42 ± 0.02
VHL-SMARCA4,-0.74 ± 0.02,0.56 ± 0.01,0.76 ± 0.02,-0.67 ± 0.02,-0.25 ± 0.01,-0.27 ± 0.01,-0.51 ± 0.03
VHL-WDR5,0.02 ± 0.01,-0.38 ± 0.02,0.32 ± 0.03,-0.27 ± 0.03,0.68 ± 0.07,-0.03 ± 0.01,-0.21 ± 0.03
Mean,-0.25,-0.04,0.46,-0.34,0.16,-0.19,-0.15
